X, Result (x)
0.1, -0.9999999999999997;
0.25, -0.6020625328806728;
0.4, -0.3979423744888351;
0.55, -0.25963888540563;
0.7000000000000001, -0.1549029458085041;
0.8500000000000001, -0.07058152809241516;
1.0, 0.0;
1.15, 0.06069823208408327;
1.2999999999999998, 0.11394408848380796;
1.4499999999999997, 0.16136902271924655;
1.5999999999999996, 0.20412111606445774;
1.7499999999999996, 0.2430395688870363;
1.8999999999999995, 0.2787551834053233;
2.0499999999999994, 0.31175580713662243;
2.1999999999999993, 0.3424246756609561;
2.349999999999999, 0.3710696881288056;
2.499999999999999, 0.39794237448883496;
2.649999999999999, 0.42324813687491925;
2.799999999999999, 0.4471599445718147;
2.949999999999999, 0.46982465407699137;
3.0999999999999988, 0.49136410502963823;
3.2499999999999987, 0.511885296543416;
3.3999999999999986, 0.5314817318672729;
3.5499999999999985, 0.5502308468391369;
3.6999999999999984, 0.5682036594047463;
3.8499999999999983, 0.5854636607399867;
3.9999999999999982, 0.6020625328806727;
4.149999999999999, 0.6180500278806231;
4.299999999999999, 0.6334714655305054;
4.449999999999999, 0.6483625825913213;
4.6, 0.662759762388719;
4.75, 0.6766966748936296;
4.9, 0.6901986734032569;
5.050000000000001, 0.7032933147669773;
5.200000000000001, 0.7160064498163676;
5.350000000000001, 0.7283563940150165;
5.500000000000002, 0.7403646389832297;
5.650000000000002, 0.7520515861917838;
5.8000000000000025, 0.7634306237972555;
5.950000000000003, 0.7745189345262783;
6.100000000000003, 0.7853309612438902;
6.2500000000000036, 0.7958826668702915;
6.400000000000004, 0.8061819677840598;
6.550000000000004, 0.8162424751051273;
6.700000000000005, 0.8260774732470746;
6.850000000000005, 0.8356925951380024;
7.000000000000005, 0.845099269543967;
7.150000000000006, 0.8543087353496297;
7.300000000000006, 0.8633249176434654;
7.450000000000006, 0.8721575607213328;
7.600000000000007, 0.8808139593560178;
7.750000000000007, 0.8893037972126829;
7.9000000000000075, 0.8976284405751039;
8.050000000000008, 0.9057963475031386;
8.200000000000008, 0.9138159869498923;
8.350000000000009, 0.9216878880575424;
8.500000000000009, 0.9294194922072316;
8.65000000000001, 0.9370182840312229;
8.80000000000001, 0.9444841493051995;
8.95000000000001, 0.9518236999631415;
9.10000000000001, 0.9590411194591869;
9.25000000000001, 0.9661432752379299;
9.400000000000011, 0.9731286148602165;
9.550000000000011, 0.9800032378076574;
9.700000000000012, 0.9867733424632426;
9.850000000000012, 0.9934370866089567;
10.000000000000012, 1.0000000000000004;
10.150000000000013, 1.0064650726495985;
10.300000000000013, 1.012838173766411;
10.450000000000014, 1.0191164191838749;
10.600000000000014, 1.0253050699420956;
10.750000000000014, 1.0314095042828142;
10.900000000000015, 1.0374267506474433;
11.050000000000015, 1.0433616482221215;
11.200000000000015, 1.0492164075687904;
11.350000000000016, 1.054996233705958;
11.500000000000016, 1.0606973680830523;
11.650000000000016, 1.066324514277859;
11.800000000000017, 1.071879556044789;
11.950000000000017, 1.077367583218439;
12.100000000000017, 1.0827841518543104;
12.250000000000018, 1.0881338807117655;
12.400000000000018, 1.0934215065743715;
12.550000000000018, 1.098642689680401;
12.700000000000019, 1.1038017414153405;
12.85000000000002, 1.1089001131478813;
13.00000000000002, 1.1139424891545773;
13.15000000000002, 1.1189239884308417;
13.30000000000002, 1.123848890823494;
13.45000000000002, 1.128721585664694;
13.600000000000021, 1.1335373471310777;
13.750000000000021, 1.1383001961423398;
13.900000000000022, 1.1430112744971304;
14.050000000000022, 1.1476749553064032;
14.200000000000022, 1.1522860758767222;
14.350000000000023, 1.156848656133304;
14.500000000000023, 1.1613636996304761;
14.650000000000023, 1.1658355765295763;
14.800000000000024, 1.1702587341523485;
14.950000000000024, 1.1746372029750136;
