X, Result (x)
0.1, -1.4306720989552435;
0.25, -0.8613540676187028;
0.4, -0.5693250521731755;
0.55, -0.37145810915367283;
0.7000000000000001, -0.22161532261420303;
0.8500000000000001, -0.10097902294344413;
1.0, 0.0;
1.15, 0.08683926709860795;
1.2999999999999998, 0.1630166282346716;
1.4499999999999997, 0.23086615844010094;
1.5999999999999996, 0.2920303855610248;
1.7499999999999996, 0.34770993014879387;
1.8999999999999995, 0.39880726333714794;
2.0499999999999994, 0.4460203349576379;
2.1999999999999993, 0.4898974294619287;
2.349999999999999, 0.5308790495739062;
2.499999999999999, 0.5693250521731753;
2.649999999999999, 0.6055293003617371;
2.799999999999999, 0.6397392564692688;
2.949999999999999, 0.6721650239892507;
3.0999999999999988, 0.7029809154940175;
3.2499999999999987, 0.7323400116300965;
3.3999999999999986, 0.7603760848869195;
3.5499999999999985, 0.7871999205572695;
3.6999999999999984, 0.812913122034639;
3.8499999999999983, 0.8376065243728976;
3.9999999999999982, 0.8613540676187027;
4.149999999999999, 0.8842269306473183;
4.299999999999999, 0.9062899512187828;
4.449999999999999, 0.9275942569199686;
4.6, 0.9481919003597474;
4.75, 0.9681310522261036;
4.9, 0.9874479847739626;
5.050000000000001, 1.0061821228188625;
5.200000000000001, 1.0243704504242754;
5.350000000000001, 1.0420391710129364;
5.500000000000002, 1.0592190320463788;
5.650000000000002, 1.07593922133962;
5.8000000000000025, 1.092218892954731;
5.950000000000003, 1.1080826297392898;
6.100000000000003, 1.123551094697336;
6.2500000000000036, 1.1386471255334172;
6.400000000000004, 1.1533820479894898;
6.550000000000004, 1.167775335115076;
6.700000000000005, 1.1818459925500369;
6.850000000000005, 1.1956020791674409;
7.000000000000005, 1.209059945784011;
7.150000000000006, 1.2222356715584548;
7.300000000000006, 1.23513487200534;
7.450000000000006, 1.2477714880168749;
7.600000000000007, 1.260155956020953;
7.750000000000007, 1.272302130167138;
7.9000000000000075, 1.2842119651595068;
8.050000000000008, 1.295897561708309;
8.200000000000008, 1.3073710361084603;
8.350000000000009, 1.3186331453889104;
8.500000000000009, 1.3296945357260372;
8.65000000000001, 1.3405659151743907;
8.80000000000001, 1.351247120316428;
8.95000000000001, 1.3617476106616142;
9.10000000000001, 1.372073371361062;
9.25000000000001, 1.3822342274761432;
9.400000000000011, 1.3922279579754753;
9.550000000000011, 1.4020632892172165;
9.700000000000012, 1.411749089054969;
9.850000000000012, 1.4212827218788187;
10.000000000000012, 1.4306720989552446;
10.150000000000013, 1.4399214980127433;
10.300000000000013, 1.4490393159643875;
10.450000000000014, 1.4580214265135465;
10.600000000000014, 1.4668753564835113;
10.750000000000014, 1.4756088003746815;
10.900000000000015, 1.4842175068610963;
11.050000000000015, 1.4927083992313457;
11.200000000000015, 1.5010846400747224;
11.350000000000016, 1.50935367606598;
11.500000000000016, 1.5175101299516838;
11.650000000000016, 1.5255607310093358;
11.800000000000017, 1.5335081742738133;
11.950000000000017, 1.5413597416294627;
12.100000000000017, 1.54910907524888;
12.250000000000018, 1.5567627830622168;
12.400000000000018, 1.5643276418535612;
12.550000000000018, 1.5717974428468942;
12.700000000000019, 1.5791783542211388;
12.85000000000002, 1.586472452408987;
13.00000000000002, 1.5936864390742083;
13.15000000000002, 1.6008133310997257;
13.30000000000002, 1.6078592515429713;
13.45000000000002, 1.614830480098999;
13.600000000000021, 1.621720255664178;
13.750000000000021, 1.6285343308561273;
13.900000000000022, 1.635274339214318;
14.050000000000022, 1.6419465372265778;
14.200000000000022, 1.648543538771452;
14.350000000000023, 1.6550710950437875;
14.500000000000023, 1.661530641800761;
14.650000000000023, 1.667928431310266;
14.800000000000024, 1.6742565195104475;
14.950000000000024, 1.6805206726911799;
